investSessionId,userId,sex,age,chapterId,avgNotKeep,click,avgCashRatio,avgStayTime,highBuyRatio,lowBuyRatio,midBuyRatio,highSellRatio,lowSellRatio,midSellRatio,tagTrunDuraion,betMidShares,betHighShares,betBuyRatio,betSellRatio,investPro
session_0018,user_002,M,8,chapter_2,4,8,0.39,28.73,0.28,0.44,0.42,0.2,0.34,0.32,24.06,3,1,0.21,0.21,위험중립형
session_0019,user_003,M,9,chapter_4,4,8,0.14,29.27,0.5,0.28,0.32,0.42,0.13,0.26,29.55,4,3,0.35,0.35,적극투자형
session_0020,user_003,M,9,chapter_1,6,12,0.02,39.91,0.62,0.04,0.1,0.67,0.09,0.21,38.25,4,3,0.47,0.48,공격투자형
session_0021,user_003,M,9,chapter_3,2,4,0.7,18.81,0.01,0.86,0.11,0.09,0.71,0.17,17.8,1,0,0.02,0.05,안정형
session_0022,user_004,F,7,chapter_3,2,5,0.62,23.88,0.08,0.56,0.26,0.13,0.53,0.25,22.78,1,0,0.15,0.16,안정추구형
session_0023,user_004,F,7,chapter_4,3,7,0.42,23.51,0.29,0.32,0.3,0.26,0.32,0.33,21.42,2,1,0.29,0.22,위험중립형
session_0024,user_004,F,7,chapter_4,5,10,0.22,34.56,0.46,0.13,0.3,0.3,0.21,0.35,31.82,2,3,0.36,0.36,적극투자형
session_0025,user_004,F,7,chapter_2,5,9,0.09,36.74,0.52,0.06,0.26,0.8,0.04,0.24,35.78,3,4,0.54,0.48,공격투자형
session_0026,user_004,F,7,chapter_1,1,4,0.78,11.85,0.0,0.82,0.13,0.06,0.89,0.16,10.17,0,0,0.1,0.07,안정형
session_0027,user_004,F,7,chapter_1,3,4,0.58,24.83,0.09,0.53,0.28,0.17,0.63,0.27,18.8,1,1,0.11,0.12,안정추구형
session_0028,user_004,F,7,chapter_1,4,8,0.31,22.88,0.24,0.33,0.34,0.2,0.4,0.46,25.56,2,2,0.21,0.26,위험중립형
session_0029,user_005,M,7,chapter_4,5,9,0.26,32.16,0.43,0.22,0.31,0.46,0.13,0.23,29.95,4,2,0.3,0.39,적극투자형
session_0030,user_005,M,7,chapter_4,5,9,0.05,35.61,0.7,0.0,0.18,0.52,0.1,0.24,36.21,5,4,0.51,0.53,공격투자형
session_0031,user_005,M,7,chapter_2,2,3,0.8,19.41,0.01,0.9,0.12,0.08,0.88,0.13,17.48,0,0,0.08,0.08,안정형
session_0032,user_005,M,7,chapter_3,2,5,0.64,24.0,0.15,0.7,0.2,0.11,0.52,0.27,20.29,2,0,0.12,0.14,안정추구형
session_0033,user_005,M,7,chapter_4,3,7,0.46,26.35,0.3,0.32,0.39,0.24,0.49,0.48,24.52,2,1,0.29,0.26,위험중립형
session_0034,user_005,M,7,chapter_1,4,6,0.26,32.3,0.39,0.18,0.23,0.32,0.28,0.21,26.5,3,3,0.31,0.37,적극투자형
session_0035,user_005,M,7,chapter_2,5,12,0.07,39.53,0.53,0.08,0.25,0.59,0.07,0.22,32.76,3,4,0.51,0.53,공격투자형
session_0036,user_005,M,7,chapter_2,1,3,0.81,19.48,0.0,0.78,0.05,0.09,0.72,0.11,13.49,0,0,0.04,0.06,안정형
session_0037,user_006,F,9,chapter_2,2,4,0.58,24.49,0.1,0.54,0.24,0.17,0.56,0.3,16.26,2,1,0.19,0.18,안정추구형
session_0038,user_006,F,9,chapter_4,3,5,0.48,23.89,0.18,0.38,0.38,0.29,0.45,0.5,21.68,3,1,0.21,0.21,위험중립형
session_0039,user_006,F,9,chapter_4,4,10,0.16,26.94,0.43,0.12,0.21,0.46,0.25,0.33,34.11,4,3,0.4,0.31,적극투자형
session_0040,user_006,F,9,chapter_3,5,10,0.07,39.26,0.71,0.1,0.22,0.66,0.06,0.16,39.55,3,5,0.51,0.53,공격투자형
session_0041,user_006,F,9,chapter_3,1,2,0.79,18.9,0.02,0.84,0.09,0.09,0.73,0.17,19.22,0,0,0.01,0.07,안정형
session_0042,user_006,F,9,chapter_3,3,6,0.57,15.79,0.09,0.58,0.25,0.15,0.64,0.29,20.73,1,1,0.16,0.17,안정추구형
session_0043,user_007,M,8,chapter_3,3,7,0.38,26.93,0.18,0.44,0.46,0.23,0.37,0.46,23.47,3,2,0.27,0.27,위험중립형
session_0044,user_007,M,8,chapter_2,5,9,0.29,33.45,0.42,0.17,0.34,0.45,0.25,0.26,30.99,2,3,0.38,0.37,적극투자형
session_0045,user_008,F,9,chapter_3,5,11,0.09,39.24,0.59,0.0,0.26,0.63,0.02,0.27,39.07,5,5,0.46,0.5,공격투자형
session_0046,user_008,F,9,chapter_2,1,1,0.8,13.21,0.01,0.72,0.06,0.1,0.72,0.16,15.17,0,0,0.06,0.09,안정형
session_0047,user_009,F,7,chapter_2,3,6,0.64,16.7,0.12,0.51,0.22,0.13,0.58,0.23,19.19,1,0,0.19,0.14,안정추구형
session_0048,user_009,F,7,chapter_2,3,8,0.46,25.11,0.17,0.49,0.3,0.23,0.39,0.43,29.63,3,2,0.27,0.2,위험중립형
session_0049,user_009,F,7,chapter_4,4,10,0.16,33.8,0.31,0.11,0.36,0.42,0.21,0.27,29.32,4,3,0.35,0.36,적극투자형
session_0050,user_009,F,7,chapter_4,5,9,0.06,33.65,0.73,0.09,0.12,0.64,0.02,0.12,30.28,5,3,0.55,0.53,공격투자형
session_0051,user_009,F,7,chapter_1,2,3,0.72,18.12,0.01,0.78,0.08,0.08,0.78,0.18,18.46,0,0,0.09,0.09,안정형
session_0052,user_010,F,7,chapter_2,2,3,0.53,17.69,0.13,0.68,0.21,0.15,0.56,0.21,24.32,2,1,0.17,0.19,안정추구형
session_0053,user_010,F,7,chapter_3,4,4,0.42,23.82,0.16,0.32,0.47,0.23,0.42,0.47,21.11,2,1,0.23,0.25,위험중립형
session_0054,user_010,F,7,chapter_2,4,7,0.29,34.17,0.3,0.29,0.24,0.48,0.19,0.34,32.01,2,3,0.34,0.34,적극투자형
session_0055,user_010,F,7,chapter_2,6,12,0.08,33.43,0.72,0.07,0.12,0.56,0.02,0.26,31.3,5,5,0.51,0.51,공격투자형
session_0056,user_010,F,7,chapter_3,2,2,0.89,10.8,0.04,0.77,0.05,0.05,0.74,0.14,18.37,0,0,0.04,0.05,안정형
session_0057,user_010,F,7,chapter_2,2,6,0.59,23.58,0.07,0.66,0.25,0.18,0.58,0.27,22.67,1,1,0.1,0.16,안정추구형
session_0058,user_010,F,7,chapter_3,3,6,0.36,24.14,0.24,0.46,0.43,0.29,0.31,0.45,25.07,2,1,0.26,0.3,위험중립형
session_0059,user_011,M,8,chapter_4,4,7,0.26,26.72,0.45,0.21,0.38,0.41,0.22,0.25,30.56,3,2,0.4,0.34,적극투자형
session_0060,user_011,M,8,chapter_2,6,8,0.03,36.1,0.72,0.01,0.27,0.53,0.01,0.22,37.81,5,3,0.59,0.49,공격투자형
session_0061,user_012,M,8,chapter_1,1,3,0.88,12.02,0.02,0.83,0.14,0.06,0.79,0.12,18.54,1,0,0.07,0.02,안정형
session_0062,user_013,M,8,chapter_4,2,4,0.59,21.79,0.06,0.58,0.18,0.1,0.54,0.22,19.15,1,1,0.13,0.18,안정추구형
session_0063,user_013,M,8,chapter_3,3,4,0.3,23.0,0.29,0.31,0.43,0.24,0.39,0.3,23.73,2,2,0.22,0.24,위험중립형
session_0064,user_013,M,8,chapter_1,5,10,0.12,27.97,0.41,0.27,0.35,0.38,0.29,0.3,28.59,4,3,0.35,0.39,적극투자형
session_0065,user_013,M,8,chapter_2,6,12,0.05,36.63,0.6,0.02,0.18,0.69,0.05,0.15,33.46,5,5,0.56,0.55,공격투자형
session_0066,user_013,M,8,chapter_2,2,1,0.84,11.76,0.03,0.74,0.07,0.09,0.83,0.2,18.13,1,0,0.09,0.05,안정형
session_0067,user_013,M,8,chapter_1,3,3,0.51,22.79,0.1,0.57,0.27,0.11,0.65,0.27,16.23,2,0,0.19,0.18,안정추구형
session_0068,user_013,M,8,chapter_2,3,8,0.37,29.18,0.22,0.5,0.41,0.29,0.47,0.41,22.28,3,2,0.29,0.28,위험중립형
session_0069,user_013,M,8,chapter_4,5,10,0.3,33.65,0.33,0.25,0.35,0.4,0.18,0.31,27.57,3,3,0.3,0.31,적극투자형
session_0070,user_013,M,8,chapter_4,5,10,0.07,37.81,0.55,0.0,0.21,0.67,0.09,0.19,39.88,5,5,0.42,0.41,공격투자형
session_0071,user_014,F,7,chapter_3,2,4,0.72,14.59,0.0,0.92,0.11,0.09,0.89,0.13,17.88,1,0,0.03,0.0,안정형
session_0072,user_014,F,7,chapter_4,3,3,0.53,15.59,0.12,0.63,0.25,0.1,0.56,0.29,19.48,2,1,0.16,0.18,안정추구형
session_0073,user_014,F,7,chapter_3,4,6,0.49,20.03,0.29,0.44,0.38,0.24,0.37,0.47,29.67,2,1,0.26,0.3,위험중립형
session_0074,user_014,F,7,chapter_3,4,9,0.19,32.79,0.45,0.14,0.26,0.48,0.27,0.36,27.39,2,2,0.36,0.32,적극투자형
session_0075,user_014,F,7,chapter_2,6,11,0.02,32.37,0.75,0.08,0.15,0.76,0.04,0.22,35.2,4,5,0.57,0.54,공격투자형
session_0076,user_014,F,7,chapter_3,1,2,0.82,12.93,0.03,0.83,0.09,0.06,0.74,0.16,10.43,0,0,0.01,0.09,안정형
session_0077,user_014,F,7,chapter_3,2,2,0.54,19.04,0.11,0.59,0.24,0.1,0.52,0.29,23.73,1,1,0.15,0.2,안정추구형
session_0078,user_014,F,7,chapter_3,4,5,0.45,24.97,0.26,0.45,0.47,0.28,0.4,0.36,26.19,3,1,0.2,0.24,위험중립형
session_0079,user_014,F,7,chapter_2,5,9,0.26,33.32,0.34,0.18,0.22,0.49,0.28,0.38,29.44,3,3,0.33,0.4,적극투자형
session_0080,user_015,M,9,chapter_4,6,11,0.06,33.52,0.54,0.08,0.24,0.53,0.05,0.12,33.23,2,3,0.59,0.59,공격투자형
session_0081,user_015,M,9,chapter_1,1,2,0.91,17.98,0.04,0.8,0.09,0.07,0.85,0.18,15.5,0,0,0.08,0.08,안정형
session_0082,user_015,M,9,chapter_1,2,4,0.67,16.53,0.13,0.67,0.23,0.17,0.65,0.21,17.78,2,1,0.13,0.18,안정추구형
session_0083,user_015,M,9,chapter_4,4,7,0.33,24.09,0.16,0.42,0.48,0.26,0.33,0.43,24.92,3,1,0.26,0.22,위험중립형
session_0084,user_015,M,9,chapter_1,4,10,0.23,27.37,0.33,0.27,0.3,0.46,0.25,0.21,29.9,4,2,0.37,0.38,적극투자형
session_0085,user_015,M,9,chapter_4,5,12,0.01,39.76,0.72,0.08,0.25,0.62,0.08,0.13,34.66,3,3,0.54,0.54,공격투자형
session_0086,user_016,M,8,chapter_2,2,2,0.92,16.34,0.04,0.84,0.1,0.09,0.94,0.13,14.11,0,0,0.04,0.09,안정형
session_0087,user_016,M,8,chapter_1,2,3,0.63,20.24,0.08,0.54,0.28,0.13,0.68,0.21,21.63,1,1,0.19,0.16,안정추구형
session_0088,user_016,M,8,chapter_4,3,6,0.46,29.58,0.18,0.41,0.31,0.21,0.44,0.37,27.24,2,2,0.23,0.23,위험중립형
session_0089,user_017,F,8,chapter_1,4,8,0.12,27.17,0.49,0.11,0.31,0.34,0.25,0.29,32.35,4,2,0.33,0.33,적극투자형
session_0090,user_017,F,8,chapter_2,5,12,0.01,39.89,0.72,0.03,0.27,0.59,0.05,0.23,33.97,5,3,0.43,0.4,공격투자형
session_0091,user_018,M,7,chapter_1,1,1,0.72,18.71,0.03,0.72,0.13,0.08,0.89,0.19,12.78,1,0,0.06,0.09,안정형
session_0092,user_018,M,7,chapter_1,3,5,0.59,18.75,0.09,0.66,0.17,0.17,0.6,0.26,16.48,2,0,0.18,0.16,안정추구형
session_0093,user_019,F,7,chapter_2,3,5,0.31,21.51,0.29,0.34,0.45,0.23,0.35,0.32,24.67,2,1,0.28,0.23,위험중립형
session_0094,user_019,F,7,chapter_2,5,10,0.26,31.16,0.34,0.1,0.25,0.43,0.22,0.24,28.3,3,3,0.34,0.37,적극투자형
session_0095,user_019,F,7,chapter_1,6,11,0.09,34.69,0.51,0.06,0.21,0.51,0.04,0.11,33.47,5,3,0.53,0.5,공격투자형
session_0096,user_019,F,7,chapter_1,2,1,0.8,10.12,0.05,0.83,0.06,0.08,0.91,0.17,12.06,1,0,0.09,0.04,안정형
session_0097,user_019,F,7,chapter_4,3,4,0.66,15.2,0.11,0.56,0.26,0.18,0.57,0.23,23.99,1,1,0.2,0.12,안정추구형
session_0098,user_019,F,7,chapter_1,3,8,0.41,22.95,0.16,0.31,0.39,0.22,0.31,0.31,27.56,2,1,0.25,0.3,위험중립형
session_0099,user_020,F,7,chapter_3,5,10,0.17,30.59,0.4,0.21,0.39,0.46,0.26,0.24,31.55,2,3,0.34,0.34,적극투자형
session_0100,user_021,F,9,chapter_2,5,12,0.05,33.54,0.52,0.01,0.19,0.8,0.09,0.25,39.37,2,4,0.4,0.48,공격투자형
session_0101,user_021,F,9,chapter_1,2,2,0.76,11.3,0.05,0.86,0.09,0.06,0.83,0.12,16.57,0,0,0.03,0.05,안정형
session_0102,user_021,F,9,chapter_1,2,4,0.66,18.82,0.07,0.6,0.22,0.17,0.69,0.25,15.65,1,1,0.12,0.14,안정추구형
session_0103,user_021,F,9,chapter_2,3,7,0.42,24.78,0.17,0.36,0.35,0.29,0.3,0.31,20.29,3,1,0.28,0.3,위험중립형
session_0104,user_021,F,9,chapter_1,4,9,0.12,30.14,0.5,0.13,0.39,0.36,0.17,0.22,30.11,4,2,0.39,0.36,적극투자형
session_0105,user_022,F,7,chapter_3,6,8,0.05,37.04,0.62,0.05,0.15,0.53,0.02,0.13,38.3,2,5,0.58,0.41,공격투자형
session_0106,user_022,F,7,chapter_3,1,2,0.79,11.57,0.03,0.86,0.12,0.09,0.88,0.13,15.15,0,0,0.08,0.06,안정형
session_0107,user_022,F,7,chapter_1,3,4,0.61,20.26,0.06,0.52,0.27,0.12,0.64,0.29,21.47,2,1,0.14,0.15,안정추구형
session_0108,user_022,F,7,chapter_4,4,8,0.5,22.94,0.19,0.41,0.41,0.26,0.48,0.33,20.17,3,1,0.29,0.2,위험중립형
session_0109,user_022,F,7,chapter_3,4,10,0.17,30.5,0.39,0.19,0.24,0.43,0.18,0.25,33.98,3,2,0.39,0.34,적극투자형
session_0110,user_022,F,7,chapter_3,5,11,0.02,39.79,0.75,0.1,0.15,0.64,0.07,0.23,30.23,2,4,0.52,0.44,공격투자형
session_0111,user_022,F,7,chapter_3,1,1,0.93,16.16,0.02,0.72,0.13,0.07,0.83,0.15,10.68,1,0,0.06,0.05,안정형
session_0112,user_023,F,8,chapter_4,3,2,0.51,18.32,0.13,0.63,0.29,0.13,0.51,0.21,22.23,1,1,0.11,0.13,안정추구형
session_0113,user_023,F,8,chapter_3,3,4,0.5,25.16,0.22,0.46,0.43,0.24,0.4,0.32,24.41,2,1,0.24,0.24,위험중립형
session_0114,user_023,F,8,chapter_4,5,9,0.29,28.66,0.45,0.17,0.28,0.49,0.15,0.22,32.42,2,2,0.37,0.32,적극투자형
session_0115,user_023,F,8,chapter_1,5,11,0.01,35.63,0.67,0.05,0.23,0.62,0.05,0.2,36.3,4,3,0.5,0.48,공격투자형
session_0116,user_023,F,8,chapter_4,2,2,0.9,16.91,0.02,0.86,0.09,0.1,0.8,0.13,13.72,1,0,0.07,0.06,안정형
session_0117,user_023,F,8,chapter_3,2,6,0.56,15.15,0.11,0.6,0.19,0.15,0.67,0.22,19.81,1,1,0.2,0.12,안정추구형
session_0118,user_023,F,8,chapter_2,4,4,0.34,27.11,0.17,0.33,0.42,0.29,0.5,0.49,27.64,3,2,0.3,0.25,위험중립형
session_0119,user_024,F,8,chapter_4,4,8,0.18,25.34,0.41,0.2,0.34,0.39,0.12,0.36,32.69,4,3,0.32,0.37,적극투자형
session_0120,user_025,M,9,chapter_2,6,12,0.01,32.61,0.74,0.04,0.28,0.52,0.01,0.27,37.1,4,5,0.42,0.43,공격투자형
session_0121,user_025,M,9,chapter_3,2,2,0.74,16.22,0.01,0.73,0.09,0.08,0.71,0.15,14.11,1,0,0.05,0.06,안정형
session_0122,user_026,F,8,chapter_2,3,3,0.52,20.87,0.11,0.52,0.21,0.13,0.56,0.22,21.66,1,1,0.13,0.11,안정추구형
session_0123,user_026,F,8,chapter_4,3,7,0.37,26.8,0.18,0.31,0.46,0.2,0.47,0.35,25.94,3,1,0.25,0.26,위험중립형
session_0124,user_026,F,8,chapter_1,5,8,0.16,32.08,0.49,0.15,0.34,0.38,0.16,0.36,25.8,2,2,0.39,0.34,적극투자형
session_0125,user_026,F,8,chapter_3,6,10,0.08,32.06,0.77,0.04,0.25,0.66,0.02,0.17,32.11,3,3,0.56,0.5,공격투자형
session_0126,user_026,F,8,chapter_2,1,3,0.93,15.71,0.01,0.84,0.13,0.07,0.72,0.11,19.67,0,0,0.08,0.02,안정형
session_0127,user_026,F,8,chapter_3,2,5,0.54,17.61,0.11,0.68,0.15,0.12,0.54,0.22,17.49,1,1,0.17,0.11,안정추구형
session_0128,user_026,F,8,chapter_2,3,5,0.42,22.94,0.24,0.34,0.33,0.28,0.48,0.41,28.46,3,2,0.29,0.22,위험중립형
session_0129,user_026,F,8,chapter_1,4,8,0.21,30.17,0.34,0.1,0.24,0.43,0.21,0.24,26.14,3,3,0.31,0.35,적극투자형
session_0130,user_026,F,8,chapter_2,5,8,0.05,38.48,0.73,0.08,0.22,0.55,0.05,0.22,31.46,4,4,0.58,0.6,공격투자형
session_0131,user_026,F,8,chapter_4,2,4,0.8,13.47,0.01,0.9,0.12,0.09,0.78,0.19,11.28,0,0,0.02,0.05,안정형
session_0132,user_027,F,8,chapter_4,2,2,0.62,24.33,0.07,0.68,0.29,0.12,0.62,0.29,17.53,1,0,0.18,0.12,안정추구형
session_0133,user_027,F,8,chapter_4,4,8,0.43,21.49,0.22,0.46,0.39,0.25,0.37,0.44,21.9,3,1,0.26,0.21,위험중립형
session_0134,user_027,F,8,chapter_4,5,7,0.27,32.31,0.46,0.26,0.31,0.43,0.25,0.35,25.29,4,3,0.37,0.33,적극투자형
session_0135,user_027,F,8,chapter_4,6,9,0.02,30.65,0.76,0.09,0.27,0.77,0.1,0.18,32.58,4,5,0.43,0.51,공격투자형
session_0136,user_027,F,8,chapter_2,2,2,0.8,18.2,0.04,0.83,0.08,0.09,0.85,0.12,18.67,0,0,0.02,0.09,안정형
session_0137,user_027,F,8,chapter_1,2,3,0.58,21.62,0.1,0.62,0.24,0.12,0.69,0.27,16.61,1,0,0.14,0.17,안정추구형
session_0138,user_027,F,8,chapter_3,4,7,0.49,21.39,0.24,0.34,0.34,0.26,0.49,0.45,25.16,3,1,0.21,0.28,위험중립형
session_0139,user_027,F,8,chapter_2,5,7,0.22,31.44,0.35,0.2,0.32,0.31,0.25,0.33,30.34,4,3,0.35,0.34,적극투자형
session_0140,user_027,F,8,chapter_2,5,12,0.01,33.14,0.58,0.1,0.11,0.71,0.09,0.13,30.93,3,3,0.43,0.46,공격투자형
session_0141,user_027,F,8,chapter_3,2,3,0.8,10.36,0.0,0.75,0.08,0.06,0.93,0.19,17.92,0,0,0.03,0.02,안정형
session_0142,user_028,M,8,chapter_2,3,6,0.68,19.49,0.08,0.55,0.19,0.11,0.66,0.23,18.05,1,0,0.11,0.19,안정추구형
session_0143,user_028,M,8,chapter_1,3,5,0.3,24.36,0.21,0.38,0.44,0.21,0.48,0.4,25.49,2,2,0.21,0.29,위험중립형
session_0144,user_028,M,8,chapter_1,5,7,0.22,34.35,0.47,0.19,0.29,0.31,0.22,0.23,34.55,4,2,0.38,0.35,적극투자형
session_0145,user_028,M,8,chapter_1,6,8,0.08,30.48,0.77,0.05,0.3,0.67,0.05,0.13,36.03,5,4,0.44,0.53,공격투자형
session_0146,user_028,M,8,chapter_3,1,3,0.74,11.84,0.01,0.92,0.1,0.06,0.82,0.17,15.13,0,0,0.04,0.1,안정형
session_0147,user_028,M,8,chapter_2,3,3,0.52,21.11,0.06,0.56,0.21,0.14,0.51,0.23,20.11,1,1,0.14,0.19,안정추구형
session_0148,user_028,M,8,chapter_2,4,8,0.48,21.24,0.21,0.4,0.49,0.24,0.43,0.39,23.03,2,1,0.25,0.22,위험중립형
session_0149,user_029,F,9,chapter_3,4,8,0.21,34.4,0.34,0.13,0.38,0.43,0.25,0.39,25.97,4,2,0.37,0.36,적극투자형
session_0150,user_029,F,9,chapter_3,5,11,0.05,37.75,0.8,0.05,0.16,0.53,0.03,0.1,39.17,2,5,0.51,0.51,공격투자형
session_0151,user_029,F,9,chapter_3,2,1,0.73,15.51,0.02,0.74,0.06,0.05,0.75,0.13,17.86,0,0,0.07,0.0,안정형
session_0152,user_029,F,9,chapter_1,2,6,0.51,15.62,0.13,0.56,0.24,0.11,0.55,0.27,23.96,1,1,0.15,0.15,안정추구형
session_0153,user_029,F,9,chapter_1,4,4,0.42,26.62,0.27,0.32,0.5,0.24,0.36,0.3,20.88,2,2,0.28,0.25,위험중립형
session_0154,user_030,F,9,chapter_3,4,8,0.19,32.54,0.41,0.27,0.29,0.47,0.28,0.31,27.07,3,2,0.3,0.36,적극투자형
session_0155,user_030,F,9,chapter_2,6,10,0.04,35.6,0.71,0.07,0.3,0.58,0.02,0.29,35.08,3,3,0.5,0.42,공격투자형
session_0156,user_030,F,9,chapter_3,1,2,0.84,16.49,0.04,0.93,0.09,0.09,0.73,0.11,13.97,0,0,0.1,0.04,안정형
session_0157,user_030,F,9,chapter_2,3,5,0.5,17.76,0.09,0.55,0.2,0.18,0.51,0.21,23.4,2,0,0.12,0.18,안정추구형
session_0158,user_030,F,9,chapter_2,4,7,0.34,21.57,0.18,0.45,0.49,0.28,0.47,0.35,27.35,3,1,0.2,0.29,위험중립형
session_0159,user_031,F,9,chapter_4,5,9,0.17,25.72,0.45,0.13,0.2,0.39,0.14,0.33,27.48,3,3,0.36,0.32,적극투자형
session_0160,user_031,F,9,chapter_4,6,8,0.09,37.61,0.64,0.07,0.24,0.69,0.03,0.15,32.7,5,3,0.57,0.47,공격투자형
session_0161,user_032,M,7,chapter_2,1,4,0.9,12.02,0.01,0.88,0.06,0.1,0.83,0.18,17.53,0,0,0.07,0.03,안정형
session_0162,user_032,M,7,chapter_1,2,4,0.7,18.97,0.11,0.62,0.27,0.12,0.63,0.24,23.73,2,1,0.15,0.12,안정추구형
session_0163,user_032,M,7,chapter_1,3,8,0.41,20.85,0.19,0.45,0.44,0.25,0.45,0.44,27.92,3,2,0.21,0.23,위험중립형
session_0164,user_032,M,7,chapter_1,4,7,0.16,34.27,0.35,0.15,0.27,0.46,0.23,0.28,33.74,4,3,0.32,0.39,적극투자형
session_0165,user_032,M,7,chapter_4,5,9,0.1,33.96,0.69,0.04,0.2,0.54,0.01,0.11,31.41,4,5,0.56,0.44,공격투자형
session_0166,user_032,M,7,chapter_3,1,2,0.72,17.37,0.02,0.89,0.1,0.06,0.71,0.12,19.34,1,0,0.08,0.06,안정형
session_0167,user_032,M,7,chapter_2,2,2,0.59,18.83,0.06,0.58,0.3,0.12,0.67,0.25,15.29,1,0,0.18,0.16,안정추구형
session_0168,user_033,M,7,chapter_1,4,8,0.38,24.02,0.15,0.37,0.48,0.29,0.38,0.47,20.76,3,2,0.28,0.29,위험중립형
session_0169,user_033,M,7,chapter_4,4,10,0.28,27.94,0.36,0.11,0.34,0.37,0.19,0.35,34.08,2,2,0.3,0.38,적극투자형
session_0170,user_033,M,7,chapter_1,5,8,0.02,39.91,0.67,0.06,0.12,0.71,0.07,0.23,38.14,2,5,0.45,0.59,공격투자형
session_0171,user_033,M,7,chapter_2,2,3,0.9,19.17,0.04,0.75,0.09,0.06,0.77,0.17,12.3,0,0,0.03,0.05,안정형
session_0172,user_033,M,7,chapter_3,2,4,0.64,18.31,0.06,0.61,0.29,0.1,0.68,0.26,18.03,2,1,0.19,0.11,안정추구형
session_0173,user_033,M,7,chapter_4,3,6,0.35,29.34,0.19,0.45,0.33,0.3,0.47,0.39,21.07,3,1,0.3,0.21,위험중립형
session_0174,user_033,M,7,chapter_4,5,6,0.27,28.42,0.48,0.22,0.29,0.48,0.23,0.36,27.05,2,3,0.38,0.38,적극투자형
session_0175,user_034,M,7,chapter_1,5,12,0.07,36.3,0.62,0.03,0.22,0.73,0.06,0.19,37.05,3,3,0.52,0.45,공격투자형
session_0176,user_034,M,7,chapter_1,2,4,0.79,11.18,0.04,0.89,0.06,0.08,0.82,0.18,15.55,1,0,0.04,0.04,안정형
session_0177,user_034,M,7,chapter_1,3,4,0.55,23.43,0.06,0.66,0.29,0.14,0.62,0.22,15.49,1,0,0.13,0.13,안정추구형
session_0178,user_034,M,7,chapter_2,4,4,0.35,28.91,0.29,0.33,0.38,0.27,0.36,0.48,22.23,3,2,0.21,0.24,위험중립형
session_0179,user_034,M,7,chapter_1,4,10,0.17,28.99,0.34,0.18,0.32,0.42,0.24,0.26,29.74,2,3,0.32,0.33,적극투자형
